0.00015944,5.8499e-05,-9.9677e-05,-2.4008e-06,-9.6052e-05,-0.00010893,-0.00016514,-5.7793e-05,-6.265e-06,-7.9633e-06,-9.8233e-05
0.00016162,0.00015188,8.3616e-05,-5.3659e-07,0.00020772,0.00036223,0.00016141,9.3665e-05,2.2668e-05,0.00043167,0.00021302
0.00069099,0.00074079,0.0006506,0.00052318,0.00058753,0.00072027,0.00048609,0.00048897,0.00054948,0.0004958,0.00034566
0.00069099,0.00074079,0.00033625,0.00079703,0.00058676,0.001206,0.00099257,0.0011631,0.0010599,0.0012489,0.00034566
0.00028829,0.00033628,0.0014522,0.00087883,2.8028e-05,0.00019943,0.0016329,0.0017569,0.00048235,-2.949e-05,0.00092575
0.0001661,0.00044641,0.0021036,0.0020083,0.00039799,0.00026462,0.00047714,0.0017958,0.00035484,0.00021911,0.00050385
0.001215,0.00024512,0.0010502,0.0036643,0.0014649,0.00045985,0.00106,0.0027364,0.0017429,0.00012975,0.00044499
0.0026984,0.00042112,0.0014412,0.0037166,0.003524,0.00092264,0.00034736,0.0011873,0.0035436,0.0011918,0.00049028
0.0046029,0.0021211,0.0011928,0.0022581,0.0044412,0.0018377,0.00079735,0.0019482,0.0040456,0.0025865,0.00054227
0.0050111,0.0035896,0.0011408,0.0032109,0.0048224,0.0040204,0.00086243,0.0014508,0.003266,0.0037572,0.00047567
0.0046444,0.0047208,0.0028624,0.0025423,0.0034797,0.0047319,0.0025669,0.0017664,0.0030461,0.0047427,0.002626
0.0035664,0.0047342,0.004179,0.0028511,0.0038972,0.0050444,0.004019,0.0012411,0.0025954,0.0046929,0.0038356
0.0039345,0.0050505,0.0050838,0.0032605,0.0030829,0.0038364,0.0048321,0.0033092,0.0022079,0.0032157,0.0045014
0.0034691,0.0041404,0.005218,0.0036575,0.0032953,0.0039898,0.0050282,0.0044006,0.0027607,0.0031585,0.0047099
0.0034054,0.0041765,0.0047895,0.0050298,0.0035137,0.0032065,0.0041985,0.0046589,0.0035564,0.0027477,0.0037369
0.0042163,0.003967,0.0042125,0.0049415,0.0040443,0.0030025,0.0037721,0.0047142,0.0040273,0.0031743,0.0037942
