0.00060115,0.00037901,0.00044896,0.00051001
0.0015098,0.0007875,0.00056458,0.00083975
0.0018879,0.0033511,0.00072363,0.0011387
0.0059165,0.009014,0.005964,0.0015209
0.0053507,0.0089181,0.0094294,0.0038915
0.0060724,0.0080214,0.010439,0.0085012
0.0067322,0.0085512,0.0109,0.010913
0.0097351,0.0084259,0.0092581,0.011758
0.011304,0.0087704,0.0098174,0.01147
0.012259,0.0099282,0.0087464,0.0093563
0.011743,0.011292,0.0098477,0.010249
0.012126,0.011652,0.0098807,0.0093616
0.011199,0.011691,0.010339,0.0094222
0.010836,0.011718,0.01094,0.0096056
0.01009,0.010256,0.011161,0.010491
0.0099658,0.011383,0.011252,0.010245
