# File_num, Time_point, I0, I0_err
3.000000000000000000e+00, 9.687499999999701572e+01, 7.550000000000000044e-01, 1.899999999999999953e-02
8.000000000000000000e+00, 1.843749999999970157e+02, 7.319999999999999840e-01, 1.600000000000000033e-02
1.300000000000000000e+01, 2.718749999999970441e+02, 7.540000000000000036e-01, 1.899999999999999953e-02
2.000000000000000000e+01, 3.943750000000000000e+02, 7.089999999999999636e-01, 1.600000000000000033e-02
2.500000000000000000e+01, 4.818750000000000000e+02, 6.959999999999999520e-01, 1.600000000000000033e-02
3.000000000000000000e+01, 5.693750000000000000e+02, 7.019999999999999574e-01, 1.600000000000000033e-02
3.500000000000000000e+01, 6.568750000000000000e+02, 7.179999999999999716e-01, 1.299999999999999940e-02
4.000000000000000000e+01, 7.443750000000000000e+02, 7.199999999999999734e-01, 1.499999999999999944e-02
4.500000000000000000e+01, 8.318750000000000000e+02, 6.830000000000000515e-01, 1.200000000000000025e-02
5.000000000000000000e+01, 9.193750000000000000e+02, 6.889999999999999458e-01, 1.299999999999999940e-02
5.500000000000000000e+01, 1.006875000000000000e+03, 6.949999999999999512e-01, 1.000000000000000021e-02
6.000000000000000000e+01, 1.094375000000000000e+03, 6.790000000000000480e-01, 1.099999999999999936e-02
6.500000000000000000e+01, 1.181875000000000000e+03, 7.189999999999999725e-01, 1.499999999999999944e-02
7.000000000000000000e+01, 1.269375000000000000e+03, 7.099999999999999645e-01, 1.299999999999999940e-02
7.500000000000000000e+01, 1.356875000000000000e+03, 6.660000000000000364e-01, 9.700000000000000289e-03
8.000000000000000000e+01, 1.444375000000000000e+03, 6.760000000000000453e-01, 9.799999999999999684e-03
8.500000000000000000e+01, 1.531875000000000000e+03, 6.840000000000000524e-01, 1.299999999999999940e-02
9.000000000000000000e+01, 1.619375000000000000e+03, 7.129999999999999671e-01, 1.499999999999999944e-02
9.500000000000000000e+01, 1.706875000000000000e+03, 6.820000000000000506e-01, 1.099999999999999936e-02
1.000000000000000000e+02, 1.794375000000000000e+03, 7.059999999999999609e-01, 1.099999999999999936e-02
1.050000000000000000e+02, 1.881875000000000000e+03, 6.840000000000000524e-01, 1.099999999999999936e-02
1.100000000000000000e+02, 1.969375000000000000e+03, 7.109999999999999654e-01, 1.099999999999999936e-02
