# File_num, Time_point, Rg, Rg_err
3.000000000000000000e+00, 9.687499999999701572e+01, 2.450000000000000000e+01, 1.600000000000000089e+00
8.000000000000000000e+00, 1.843749999999970157e+02, 2.289999999999999858e+01, 1.699999999999999956e+00
1.300000000000000000e+01, 2.718749999999970441e+02, 2.410000000000000142e+01, 2.200000000000000178e+00
2.000000000000000000e+01, 3.943750000000000000e+02, 2.200000000000000000e+01, 1.199999999999999956e+00
2.500000000000000000e+01, 4.818750000000000000e+02, 2.119999999999999929e+01, 2.299999999999999822e+00
3.000000000000000000e+01, 5.693750000000000000e+02, 2.139999999999999858e+01, 1.600000000000000089e+00
3.500000000000000000e+01, 6.568750000000000000e+02, 2.130000000000000071e+01, 1.399999999999999911e+00
4.000000000000000000e+01, 7.443750000000000000e+02, 2.130000000000000071e+01, 1.800000000000000044e+00
4.500000000000000000e+01, 8.318750000000000000e+02, 1.950000000000000000e+01, 1.000000000000000000e+00
5.000000000000000000e+01, 9.193750000000000000e+02, 1.939999999999999858e+01, 1.899999999999999911e+00
5.500000000000000000e+01, 1.006875000000000000e+03, 1.969999999999999929e+01, 1.399999999999999911e+00
6.000000000000000000e+01, 1.094375000000000000e+03, 1.860000000000000142e+01, 1.399999999999999911e+00
6.500000000000000000e+01, 1.181875000000000000e+03, 2.110000000000000142e+01, 1.300000000000000044e+00
7.000000000000000000e+01, 1.269375000000000000e+03, 2.019999999999999929e+01, 1.699999999999999956e+00
7.500000000000000000e+01, 1.356875000000000000e+03, 1.760000000000000142e+01, 1.300000000000000044e+00
8.000000000000000000e+01, 1.444375000000000000e+03, 1.810000000000000142e+01, 1.199999999999999956e+00
8.500000000000000000e+01, 1.531875000000000000e+03, 1.919999999999999929e+01, 1.500000000000000000e+00
9.000000000000000000e+01, 1.619375000000000000e+03, 1.939999999999999858e+01, 1.199999999999999956e+00
9.500000000000000000e+01, 1.706875000000000000e+03, 1.800000000000000000e+01, 1.699999999999999956e+00
1.000000000000000000e+02, 1.794375000000000000e+03, 1.900000000000000000e+01, 1.500000000000000000e+00
1.050000000000000000e+02, 1.881875000000000000e+03, 1.819999999999999929e+01, 1.399999999999999911e+00
1.100000000000000000e+02, 1.969375000000000000e+03, 1.880000000000000071e+01, 2.000000000000000000e+00
