#File Plotted Below: avg_em_0109.dat

#Fit from 0.015-0.15 with polymer MFF
#Initial search parameter for I0 = 0.2620555784
#Initial search parameter for Rg = 30.0
#Initial search parameter for nu = 0.499880565034
#BestFit for I0 = 0.27033 +- 0.00397
#BestFit for I(0)/I0 = 1.00000 +- 0.01467
#BestFit for Rg = 25.03298 +- 0.38979
#BestFit for nu = 0.48816 +- 0.02404
#BestFit reduced chisquared = 0.98569
#-------------
#-------------

#q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.01487,0.27641,0.04288,0.25780,1.02250,0.15861,0.95364,0.37224,0.14168,0.02198,0.13214
0.01537,0.24981,0.04076,0.25694,0.92409,0.15078,0.95048,0.38486,0.13687,0.02233,0.14078
0.01588,0.22520,0.03787,0.25606,0.83304,0.14008,0.94723,0.39748,0.13161,0.02213,0.14965
0.01638,0.26466,0.03593,0.25516,0.97904,0.13290,0.94389,0.41010,0.16465,0.02235,0.15874
0.01689,0.25998,0.03439,0.25424,0.96171,0.12721,0.94047,0.42271,0.17184,0.02273,0.16805
0.01739,0.23835,0.03209,0.25329,0.88169,0.11872,0.93697,0.43533,0.16709,0.02250,0.17757
0.01789,0.30403,0.03126,0.25232,1.12465,0.11563,0.93339,0.44795,0.22567,0.02320,0.18730
0.01840,0.28988,0.02959,0.25134,1.07231,0.10947,0.92974,0.46057,0.22746,0.02322,0.19722
0.01890,0.28689,0.02861,0.25033,1.06125,0.10584,0.92600,0.47319,0.23762,0.02370,0.20734
0.01941,0.27396,0.02748,0.24930,1.01342,0.10166,0.92219,0.48581,0.23917,0.02399,0.21765
0.01991,0.22781,0.02586,0.24825,0.84272,0.09567,0.91831,0.49842,0.20935,0.02377,0.22813
0.02041,0.23935,0.02532,0.24718,0.88539,0.09365,0.91436,0.51104,0.23123,0.02446,0.23880
0.02092,0.24688,0.02412,0.24609,0.91324,0.08923,0.91034,0.52366,0.25043,0.02447,0.24963
0.02142,0.22799,0.02381,0.24499,0.84339,0.08808,0.90625,0.53628,0.24256,0.02533,0.26063
0.02193,0.23374,0.02311,0.24386,0.86463,0.08548,0.90209,0.54890,0.26050,0.02576,0.27179
0.02243,0.21247,0.02192,0.24272,0.78596,0.08110,0.89787,0.56152,0.24781,0.02557,0.28310
0.02294,0.23951,0.02168,0.24156,0.88600,0.08018,0.89359,0.57413,0.29205,0.02643,0.29455
0.02344,0.23750,0.02088,0.24039,0.87856,0.07724,0.88925,0.58675,0.30247,0.02659,0.30615
0.02394,0.27868,0.02117,0.23920,1.03087,0.07831,0.88484,0.59937,0.37034,0.02813,0.31788
0.02445,0.23180,0.02112,0.23799,0.85747,0.07813,0.88038,0.61199,0.32115,0.02926,0.32973
0.02495,0.21999,0.02069,0.23677,0.81378,0.07655,0.87586,0.62461,0.31748,0.02987,0.34171
0.02546,0.22425,0.02056,0.23554,0.82956,0.07607,0.87129,0.63723,0.33685,0.03089,0.35379
0.02596,0.22925,0.02014,0.23429,0.84802,0.07451,0.86667,0.64984,0.35812,0.03146,0.36599
0.02646,0.23567,0.02021,0.23302,0.87180,0.07475,0.86199,0.66246,0.38260,0.03280,0.37829
0.02697,0.24732,0.01991,0.23175,0.91488,0.07366,0.85727,0.67508,0.41694,0.03357,0.39069
0.02747,0.21849,0.01971,0.23046,0.80824,0.07290,0.85250,0.68770,0.38224,0.03448,0.40317
0.02798,0.21494,0.01954,0.22915,0.79512,0.07228,0.84768,0.70032,0.38996,0.03545,0.41574
0.02848,0.22153,0.01891,0.22784,0.81946,0.06994,0.84282,0.71294,0.41652,0.03555,0.42839
0.02898,0.24467,0.01939,0.22651,0.90508,0.07172,0.83792,0.72555,0.47646,0.03776,0.44110
0.02949,0.22720,0.01870,0.22518,0.84045,0.06917,0.83297,0.73817,0.45796,0.03769,0.45389
0.02999,0.21668,0.01859,0.22383,0.80156,0.06877,0.82799,0.75079,0.45183,0.03876,0.46673
0.03050,0.19981,0.01862,0.22247,0.73915,0.06886,0.82297,0.76341,0.43077,0.04013,0.47962
0.03100,0.20830,0.01793,0.22111,0.77053,0.06632,0.81791,0.77603,0.46403,0.03994,0.49256
0.03150,0.22792,0.01817,0.21973,0.84313,0.06721,0.81282,0.78865,0.52440,0.04180,0.50555
0.03201,0.21107,0.01767,0.21835,0.78080,0.06535,0.80770,0.80127,0.50130,0.04196,0.51857
0.03251,0.20170,0.01763,0.21695,0.74611,0.06523,0.80255,0.81388,0.49423,0.04321,0.53161
0.03302,0.23642,0.01783,0.21555,0.87456,0.06596,0.79737,0.82650,0.59742,0.04506,0.54469
0.03352,0.22147,0.01718,0.21415,0.81927,0.06355,0.79216,0.83912,0.57687,0.04475,0.55778
0.03402,0.18793,0.01685,0.21273,0.69518,0.06234,0.78693,0.85174,0.50433,0.04523,0.57088
0.03453,0.22078,0.01629,0.21131,0.81669,0.06027,0.78167,0.86436,0.61016,0.04503,0.58400
0.03503,0.20174,0.01592,0.20988,0.74629,0.05889,0.77639,0.87698,0.57396,0.04529,0.59711
0.03554,0.21238,0.01546,0.20845,0.78563,0.05717,0.77109,0.88959,0.62173,0.04525,0.61023
0.03604,0.18208,0.01477,0.20701,0.67354,0.05463,0.76578,0.90221,0.54825,0.04447,0.62333
0.03654,0.23117,0.01503,0.20557,0.85516,0.05561,0.76044,0.91483,0.71569,0.04654,0.63643
0.03705,0.22812,0.01472,0.20412,0.84387,0.05446,0.75509,0.92745,0.72586,0.04684,0.64950
0.03755,0.18266,0.01423,0.20267,0.67570,0.05264,0.74973,0.94007,0.59714,0.04652,0.66256
0.03806,0.20154,0.01409,0.20122,0.74553,0.05213,0.74436,0.95269,0.67665,0.04731,0.67559
0.03856,0.23707,0.01404,0.19977,0.87696,0.05193,0.73897,0.96530,0.81717,0.04838,0.68858
0.03907,0.21526,0.01391,0.19831,0.79627,0.05144,0.73358,0.97792,0.76150,0.04919,0.70155
0.03957,0.18130,0.01329,0.19685,0.67065,0.04918,0.72818,0.99054,0.65802,0.04825,0.71447
