#File Plotted Below: avg_em_0010.dat

#Fit from 0.015-0.15 with polymer MFF
#Initial search parameter for I0 = 0.1993306956
#Initial search parameter for Rg = 30.0
#Initial search parameter for nu = 0.499880565034
#BestFit for I0 = 0.22399 +- 0.00493
#BestFit for I(0)/I0 = 1.00000 +- 0.02202
#BestFit for Rg = 26.71741 +- 0.57655
#BestFit for nu = 0.48285 +- 0.02513
#BestFit reduced chisquared = 0.93822
#-------------
#-------------

#q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.01487,0.20329,0.07381,0.21216,0.90759,0.32952,0.94719,0.39729,0.14325,0.05201,0.14950
0.01537,0.23247,0.07088,0.21136,1.03784,0.31645,0.94363,0.41076,0.17510,0.05339,0.15921
0.01588,0.23190,0.06314,0.21054,1.03533,0.28190,0.93997,0.42422,0.18632,0.05073,0.16916
0.01638,0.26404,0.05923,0.20970,1.17880,0.26444,0.93622,0.43769,0.22583,0.05066,0.17935
0.01689,0.19049,0.05604,0.20884,0.85043,0.25021,0.93238,0.45116,0.17310,0.05093,0.18978
0.01739,0.16457,0.05056,0.20796,0.73474,0.22571,0.92845,0.46463,0.15861,0.04873,0.20043
0.01789,0.17234,0.04867,0.20706,0.76939,0.21729,0.92443,0.47809,0.17586,0.04967,0.21130
0.01840,0.22467,0.04519,0.20614,1.00304,0.20173,0.92033,0.49156,0.24237,0.04875,0.22238
0.01890,0.17369,0.04343,0.20521,0.77542,0.19387,0.91614,0.50503,0.19777,0.04945,0.23367
0.01941,0.13185,0.04041,0.20425,0.58864,0.18039,0.91188,0.51850,0.15825,0.04850,0.24515
0.01991,0.20729,0.03788,0.20328,0.92544,0.16910,0.90754,0.53196,0.26189,0.04785,0.25682
0.02041,0.16998,0.03670,0.20229,0.75888,0.16383,0.90312,0.54543,0.22576,0.04874,0.26867
0.02092,0.20643,0.03394,0.20128,0.92159,0.15154,0.89863,0.55890,0.28787,0.04734,0.28070
0.02142,0.17068,0.03329,0.20026,0.76202,0.14862,0.89407,0.57237,0.24964,0.04869,0.29290
0.02193,0.14023,0.03153,0.19922,0.62607,0.14076,0.88943,0.58583,0.21487,0.04831,0.30525
0.02243,0.24586,0.02999,0.19817,1.09762,0.13391,0.88473,0.59930,0.39422,0.04810,0.31776
0.02294,0.21374,0.02929,0.19710,0.95426,0.13076,0.87997,0.61277,0.35831,0.04910,0.33041
0.02344,0.17180,0.02756,0.19602,0.76701,0.12304,0.87513,0.62623,0.30080,0.04825,0.34320
0.02394,0.22428,0.02745,0.19493,1.00130,0.12255,0.87024,0.63970,0.40975,0.05015,0.35612
0.02445,0.20724,0.02624,0.19382,0.92523,0.11714,0.86529,0.65317,0.39473,0.04998,0.36916
0.02495,0.18354,0.02451,0.19269,0.81941,0.10942,0.86028,0.66664,0.36415,0.04862,0.38231
0.02546,0.20868,0.02501,0.19156,0.93167,0.11164,0.85522,0.68010,0.43094,0.05164,0.39558
0.02596,0.22102,0.02421,0.19041,0.98675,0.10807,0.85010,0.69357,0.47467,0.05199,0.40894
0.02646,0.18847,0.02415,0.18926,0.84140,0.10780,0.84493,0.70704,0.42062,0.05389,0.42239
0.02697,0.21907,0.02391,0.18809,0.97804,0.10674,0.83972,0.72051,0.50773,0.05541,0.43592
0.02747,0.16961,0.02315,0.18691,0.75720,0.10333,0.83445,0.73397,0.40792,0.05567,0.44954
0.02798,0.18759,0.02332,0.18572,0.83750,0.10412,0.82914,0.74744,0.46789,0.05817,0.46322
0.02848,0.23075,0.02245,0.18452,1.03017,0.10023,0.82379,0.76091,0.59645,0.05803,0.47696
0.02898,0.13566,0.02229,0.18331,0.60566,0.09953,0.81840,0.77438,0.36319,0.05969,0.49076
0.02949,0.21571,0.02193,0.18210,0.96302,0.09792,0.81297,0.78784,0.59774,0.06078,0.50461
0.02999,0.19763,0.02188,0.18087,0.88230,0.09768,0.80750,0.80131,0.56652,0.06272,0.51850
0.03050,0.17713,0.02162,0.17964,0.79078,0.09651,0.80200,0.81478,0.52497,0.06407,0.53242
0.03100,0.17662,0.02045,0.17840,0.78854,0.09129,0.79646,0.82825,0.54093,0.06262,0.54637
0.03150,0.18473,0.02073,0.17715,0.82472,0.09253,0.79090,0.84171,0.58430,0.06556,0.56034
0.03201,0.17476,0.01981,0.17590,0.78020,0.08846,0.78530,0.85518,0.57059,0.06470,0.57432
0.03251,0.16822,0.01986,0.17464,0.75099,0.08868,0.77968,0.86865,0.56666,0.06692,0.58831
0.03302,0.17630,0.01967,0.17338,0.78711,0.08782,0.77404,0.88212,0.61247,0.06833,0.60230
0.03352,0.18925,0.01897,0.17211,0.84490,0.08469,0.76837,0.89558,0.67767,0.06793,0.61629
0.03402,0.13562,0.01859,0.17083,0.60548,0.08299,0.76269,0.90905,0.50036,0.06858,0.63026
0.03453,0.19064,0.01823,0.16956,0.85110,0.08139,0.75698,0.92252,0.72432,0.06927,0.64422
0.03503,0.17324,0.01772,0.16828,0.77342,0.07912,0.75126,0.93599,0.67756,0.06932,0.65816
0.03554,0.18006,0.01724,0.16699,0.80390,0.07697,0.74553,0.94945,0.72468,0.06939,0.67206
0.03604,0.17608,0.01634,0.16570,0.78612,0.07293,0.73978,0.96292,0.72890,0.06762,0.68594
0.03654,0.16273,0.01635,0.16441,0.72652,0.07299,0.73403,0.97639,0.69262,0.06958,0.69977
0.03705,0.16876,0.01607,0.16312,0.75344,0.07176,0.72826,0.98985,0.73823,0.07031,0.71356
0.03755,0.13072,0.01547,0.16183,0.58361,0.06905,0.72249,1.00332,0.58750,0.06951,0.72730
0.03806,0.14801,0.01515,0.16054,0.66079,0.06765,0.71672,1.01679,0.68316,0.06994,0.74099
0.03856,0.17015,0.01496,0.15924,0.75961,0.06679,0.71095,1.03026,0.80627,0.07089,0.75462
0.03907,0.15531,0.01486,0.15795,0.69337,0.06633,0.70517,1.04372,0.75533,0.07226,0.76819
0.03957,0.16514,0.01421,0.15666,0.73728,0.06344,0.69939,1.05719,0.82402,0.07090,0.78168
0.04007,0.13924,0.01391,0.15536,0.62162,0.06209,0.69362,1.07066,0.71257,0.07117,0.79510
0.04058,0.17616,0.01390,0.15407,0.78648,0.06205,0.68785,1.08413,0.92437,0.07293,0.80845
0.04108,0.17119,0.01383,0.15278,0.76427,0.06175,0.68208,1.09759,0.92072,0.07439,0.82171
0.04159,0.14584,0.01361,0.15149,0.65108,0.06075,0.67631,1.11106,0.80373,0.07499,0.83488
0.04209,0.14675,0.01357,0.15020,0.65517,0.06059,0.67055,1.12453,0.82850,0.07662,0.84796
0.04259,0.14381,0.01367,0.14891,0.64205,0.06101,0.66480,1.13800,0.83148,0.07901,0.86094
0.04310,0.15014,0.01336,0.14762,0.67031,0.05964,0.65906,1.15146,0.88874,0.07907,0.87382
0.04360,0.14332,0.01354,0.14634,0.63983,0.06046,0.65332,1.16493,0.86829,0.08205,0.88660
0.04411,0.15277,0.01336,0.14505,0.68202,0.05965,0.64760,1.17840,0.94707,0.08283,0.89927
0.04461,0.12250,0.01291,0.14378,0.54692,0.05763,0.64188,1.19187,0.77692,0.08187,0.91182
0.04511,0.13377,0.01314,0.14250,0.59720,0.05867,0.63618,1.20533,0.86764,0.08524,0.92426
0.04562,0.13163,0.01294,0.14122,0.58768,0.05778,0.63050,1.21880,0.87298,0.08583,0.93659
0.04612,0.14140,0.01300,0.13995,0.63126,0.05802,0.62483,1.23227,0.95856,0.08810,0.94879
0.04663,0.13217,0.01278,0.13869,0.59009,0.05707,0.61917,1.24574,0.91573,0.08857,0.96087
0.04713,0.13447,0.01262,0.13743,0.60032,0.05634,0.61353,1.25920,0.95187,0.08933,0.97281
0.04763,0.12575,0.01269,0.13617,0.56141,0.05664,0.60791,1.27267,0.90931,0.09173,0.98463
0.04814,0.11051,0.01227,0.13491,0.49336,0.05477,0.60232,1.28614,0.81609,0.09060,0.99632
0.04864,0.11529,0.01225,0.13366,0.51470,0.05469,0.59674,1.29961,0.86932,0.09236,1.00788
0.04915,0.13157,0.01218,0.13242,0.58739,0.05436,0.59118,1.31307,1.01275,0.09373,1.01929
0.04965,0.10555,0.01186,0.13118,0.47122,0.05296,0.58565,1.32654,0.82920,0.09319,1.03057
0.05015,0.13433,0.01208,0.12995,0.59971,0.05393,0.58014,1.34001,1.07686,0.09684,1.04172
0.05066,0.14682,0.01188,0.12872,0.65547,0.05305,0.57466,1.35348,1.20075,0.09718,1.05272
0.05116,0.13518,0.01176,0.12750,0.60350,0.05248,0.56921,1.36694,1.12765,0.09807,1.06358
0.05167,0.13959,0.01156,0.12628,0.62320,0.05161,0.56378,1.38041,1.18753,0.09835,1.07430
0.05217,0.15018,0.01162,0.12507,0.67046,0.05186,0.55838,1.39388,1.30264,0.10075,1.08487
0.05268,0.11694,0.01131,0.12387,0.52205,0.05050,0.55301,1.40734,1.03399,0.10001,1.09531
0.05318,0.12417,0.01106,0.12267,0.55437,0.04937,0.54768,1.42081,1.11911,0.09966,1.10560
0.05368,0.11510,0.01108,0.12149,0.51387,0.04945,0.54237,1.43428,1.05710,0.10173,1.11575
0.05419,0.13731,0.01096,0.12031,0.61301,0.04891,0.53710,1.44775,1.28486,0.10251,1.12576
0.05469,0.10663,0.01081,0.11913,0.47603,0.04826,0.53187,1.46121,1.01639,0.10304,1.13562
0.05520,0.11595,0.01084,0.11797,0.51767,0.04838,0.52667,1.47468,1.12576,0.10521,1.14535
0.05570,0.13145,0.01078,0.11681,0.58687,0.04815,0.52151,1.48815,1.29968,0.10663,1.15493
0.05620,0.12245,0.01069,0.11567,0.54669,0.04772,0.51639,1.50162,1.23272,0.10760,1.16438
0.05671,0.12430,0.01047,0.11453,0.55493,0.04673,0.51131,1.51508,1.27382,0.10726,1.17369
