#File Plotted Below: avg_em_0148.dat

#Fit from 0.015-0.15 with polymer MFF
#Initial search parameter for I0 = 0.2403016649
#Initial search parameter for Rg = 30.0
#Initial search parameter for nu = 0.499880565034
#BestFit for I0 = 0.21530 +- 0.00460
#BestFit for I(0)/I0 = 1.00000 +- 0.02135
#BestFit for Rg = 28.58476 +- 0.56426
#BestFit for nu = 0.52346 +- 0.02966
#BestFit reduced chisquared = 1.11876
#-------------
#-------------

#q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.01487,0.33217,0.03751,0.20246,1.54280,0.17423,0.94035,0.42506,0.27874,0.03148,0.16990
0.01537,0.29010,0.03563,0.20160,1.34741,0.16550,0.93636,0.43947,0.26023,0.03196,0.18084
0.01588,0.23735,0.03342,0.20072,1.10237,0.15524,0.93226,0.45387,0.22709,0.03198,0.19205
0.01638,0.28626,0.03200,0.19982,1.32954,0.14862,0.92806,0.46828,0.29155,0.03259,0.20351
0.01689,0.23988,0.03045,0.19889,1.11413,0.14145,0.92376,0.48269,0.25958,0.03296,0.21523
0.01739,0.23718,0.02891,0.19794,1.10159,0.13427,0.91937,0.49710,0.27221,0.03318,0.22718
0.01789,0.22914,0.02795,0.19698,1.06425,0.12982,0.91488,0.51151,0.27845,0.03397,0.23937
0.01840,0.21428,0.02661,0.19599,0.99524,0.12359,0.91031,0.52592,0.27527,0.03418,0.25178
0.01890,0.24014,0.02604,0.19499,1.11534,0.12094,0.90564,0.54033,0.32563,0.03531,0.26440
0.01941,0.23069,0.02505,0.19397,1.07144,0.11636,0.90089,0.55473,0.32972,0.03581,0.27723
0.01991,0.19801,0.02357,0.19293,0.91968,0.10947,0.89605,0.56914,0.29791,0.03546,0.29025
0.02041,0.22422,0.02347,0.19187,1.04140,0.10900,0.89114,0.58355,0.35463,0.03712,0.30346
0.02092,0.22671,0.02230,0.19079,1.05296,0.10356,0.88615,0.59796,0.37649,0.03703,0.31685
0.02142,0.18611,0.02190,0.18970,0.86438,0.10170,0.88108,0.61237,0.32414,0.03814,0.33040
0.02193,0.19683,0.02130,0.18859,0.91419,0.09893,0.87593,0.62678,0.35914,0.03886,0.34411
0.02243,0.14912,0.02019,0.18747,0.69258,0.09376,0.87072,0.64119,0.28474,0.03855,0.35797
0.02294,0.18334,0.02009,0.18633,0.85154,0.09332,0.86544,0.65560,0.36600,0.04011,0.37197
0.02344,0.19776,0.01949,0.18518,0.91851,0.09054,0.86009,0.67000,0.41232,0.04064,0.38610
0.02394,0.20215,0.01952,0.18402,0.93890,0.09066,0.85468,0.68441,0.43980,0.04247,0.40035
0.02445,0.19080,0.01953,0.18284,0.88619,0.09070,0.84921,0.69882,0.43277,0.04429,0.41471
0.02495,0.15811,0.01894,0.18165,0.73434,0.08798,0.84368,0.71323,0.37356,0.04476,0.42918
0.02546,0.20039,0.01927,0.18045,0.93072,0.08948,0.83809,0.72764,0.49278,0.04738,0.44374
0.02596,0.19675,0.01880,0.17923,0.91383,0.08734,0.83245,0.74205,0.50319,0.04809,0.45838
0.02646,0.18272,0.01881,0.17801,0.84866,0.08735,0.82677,0.75646,0.48562,0.04999,0.47310
0.02697,0.14245,0.01823,0.17677,0.66160,0.08468,0.82103,0.77086,0.39314,0.05032,0.48788
0.02747,0.15887,0.01829,0.17553,0.73791,0.08497,0.81524,0.78527,0.45503,0.05240,0.50272
0.02798,0.11728,0.01799,0.17427,0.54470,0.08355,0.80942,0.79968,0.34833,0.05343,0.51762
0.02848,0.19206,0.01787,0.17301,0.89204,0.08298,0.80355,0.81409,0.59119,0.05499,0.53255
0.02898,0.17110,0.01799,0.17174,0.79469,0.08356,0.79764,0.82850,0.54549,0.05736,0.54751
0.02949,0.15409,0.01737,0.17046,0.71570,0.08066,0.79170,0.84291,0.50850,0.05731,0.56250
0.02999,0.15613,0.01737,0.16917,0.72514,0.08070,0.78573,0.85732,0.53297,0.05931,0.57750
0.03050,0.14494,0.01737,0.16788,0.67317,0.08070,0.77972,0.87173,0.51155,0.06132,0.59251
0.03100,0.17760,0.01686,0.16658,0.82485,0.07830,0.77369,0.88613,0.64770,0.06149,0.60752
