#File Plotted Below: avg_em_0122.dat

#Fit from 0.015-0.15 with polymer MFF
#Initial search parameter for I0 = 0.2333783596
#Initial search parameter for Rg = 30.0
#Initial search parameter for nu = 0.499880565034
#BestFit for I0 = 0.23566 +- 0.00386
#BestFit for I(0)/I0 = 1.00000 +- 0.01638
#BestFit for Rg = 25.45281 +- 0.44051
#BestFit for nu = 0.49438 +- 0.02831
#BestFit reduced chisquared = 1.08204
#-------------
#-------------

#q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.01487,0.25478,0.03223,0.22439,1.08112,0.13678,0.95217,0.37848,0.15487,0.01959,0.13640
0.01537,0.20275,0.03065,0.22362,0.86035,0.13006,0.94891,0.39131,0.13174,0.01991,0.14530
0.01588,0.22493,0.02901,0.22284,0.95444,0.12312,0.94557,0.40414,0.15589,0.02011,0.15444
0.01638,0.24115,0.02788,0.22203,1.02329,0.11829,0.94213,0.41697,0.17792,0.02057,0.16381
0.01689,0.23704,0.02706,0.22120,1.00585,0.11482,0.93862,0.42980,0.18581,0.02121,0.17339
0.01739,0.27484,0.02592,0.22035,1.16626,0.11001,0.93502,0.44263,0.22850,0.02155,0.18319
0.01789,0.24386,0.02508,0.21948,1.03477,0.10642,0.93133,0.45546,0.21466,0.02208,0.19320
0.01840,0.25711,0.02417,0.21859,1.09102,0.10257,0.92757,0.46829,0.23926,0.02249,0.20342
0.01890,0.23436,0.02357,0.21769,0.99448,0.10003,0.92373,0.48112,0.23020,0.02316,0.21383
0.01941,0.22310,0.02282,0.21677,0.94667,0.09684,0.91982,0.49395,0.23098,0.02363,0.22443
0.01991,0.19464,0.02174,0.21583,0.82593,0.09226,0.91583,0.50678,0.21212,0.02369,0.23521
0.02041,0.21518,0.02146,0.21487,0.91310,0.09105,0.91177,0.51961,0.24654,0.02458,0.24618
0.02092,0.20523,0.02060,0.21390,0.87088,0.08741,0.90763,0.53244,0.24689,0.02478,0.25731
0.02142,0.20151,0.02061,0.21291,0.85509,0.08744,0.90343,0.54527,0.25424,0.02600,0.26861
0.02193,0.23068,0.02030,0.21190,0.97884,0.08615,0.89916,0.55810,0.30489,0.02683,0.28007
0.02243,0.19621,0.01927,0.21088,0.83260,0.08177,0.89483,0.57093,0.27140,0.02665,0.29168
0.02294,0.19480,0.01908,0.20984,0.82661,0.08097,0.89043,0.58376,0.28169,0.02759,0.30344
0.02344,0.25162,0.01887,0.20879,1.06772,0.08008,0.88597,0.59659,0.38003,0.02850,0.31534
0.02394,0.23496,0.01888,0.20772,0.99702,0.08010,0.88145,0.60942,0.37029,0.02975,0.32737
0.02445,0.21163,0.01880,0.20665,0.89801,0.07977,0.87687,0.62225,0.34771,0.03089,0.33952
