#File Plotted Below: avg_em_0077.dat

#Fit from 0.015-0.15 with polymer MFF
#Initial search parameter for I0 = 0.3025406972
#Initial search parameter for Rg = 30.0
#Initial search parameter for nu = 0.499880565034
#BestFit for I0 = 0.33786 +- 0.00398
#BestFit for I(0)/I0 = 1.00000 +- 0.01178
#BestFit for Rg = 22.71177 +- 0.28829
#BestFit for nu = 0.49482 +- 0.02570
#BestFit reduced chisquared = 1.00079
#-------------
#-------------

#q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.01487,0.30245,0.06927,0.32499,0.89520,0.20502,0.96191,0.33772,0.10210,0.02338,0.10971
0.01537,0.30942,0.06814,0.32410,0.91584,0.20169,0.95927,0.34917,0.11166,0.02459,0.11696
0.01588,0.36375,0.06092,0.32318,1.07663,0.18031,0.95656,0.36062,0.14001,0.02345,0.12440
0.01638,0.25817,0.05584,0.32224,0.76415,0.16528,0.95377,0.37207,0.10579,0.02288,0.13204
0.01689,0.25307,0.05396,0.32127,0.74905,0.15972,0.95091,0.38352,0.11018,0.02349,0.13987
0.01739,0.28406,0.04881,0.32028,0.84078,0.14446,0.94798,0.39497,0.13116,0.02254,0.14788
0.01789,0.28227,0.04774,0.31927,0.83548,0.14131,0.94497,0.40641,0.13800,0.02334,0.15608
0.01840,0.37788,0.04364,0.31823,1.11847,0.12916,0.94190,0.41786,0.19530,0.02255,0.16446
0.01890,0.26229,0.04201,0.31717,0.77634,0.12435,0.93876,0.42931,0.14309,0.02292,0.17302
0.01941,0.32532,0.04032,0.31608,0.96290,0.11935,0.93556,0.44076,0.18706,0.02319,0.18175
0.01991,0.30916,0.03710,0.31498,0.91507,0.10981,0.93228,0.45221,0.18712,0.02246,0.19064
0.02041,0.30699,0.03640,0.31385,0.90864,0.10774,0.92895,0.46366,0.19534,0.02316,0.19970
0.02092,0.32004,0.03317,0.31270,0.94727,0.09817,0.92555,0.47510,0.21382,0.02216,0.20892
