#File Plotted Below: avg_em_0031.dat

#Fit from 0.015-0.15 with polymer MFF
#Initial search parameter for I0 = 0.2090872925
#Initial search parameter for Rg = 30.0
#Initial search parameter for nu = 0.499880565034
#BestFit for I0 = 0.23014 +- 0.00430
#BestFit for I(0)/I0 = 1.00000 +- 0.01868
#BestFit for Rg = 25.50909 +- 0.52198
#BestFit for nu = 0.46613 +- 0.02426
#BestFit reduced chisquared = 0.97148
#-------------
#-------------

#q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.01487,0.19940,0.04125,0.21899,0.86642,0.17925,0.95155,0.37932,0.12466,0.02579,0.13691
0.01537,0.22355,0.03905,0.21824,0.97133,0.16969,0.94826,0.39218,0.14940,0.02610,0.14585
0.01588,0.20605,0.03680,0.21746,0.89533,0.15992,0.94489,0.40504,0.14688,0.02624,0.15501
0.01638,0.21029,0.03480,0.21666,0.91375,0.15120,0.94142,0.41790,0.15957,0.02641,0.16441
0.01689,0.15096,0.03418,0.21584,0.65595,0.14853,0.93787,0.43075,0.12171,0.02756,0.17402
0.01739,0.20177,0.03238,0.21501,0.87671,0.14069,0.93424,0.44361,0.17253,0.02769,0.18385
0.01789,0.23150,0.03142,0.21415,1.00588,0.13652,0.93052,0.45647,0.20959,0.02845,0.19389
0.01840,0.22613,0.02992,0.21328,0.98255,0.13000,0.92673,0.46933,0.21643,0.02863,0.20413
0.01890,0.24334,0.02966,0.21239,1.05735,0.12886,0.92285,0.48219,0.24584,0.02996,0.21457
0.01941,0.15914,0.02805,0.21148,0.69150,0.12190,0.91890,0.49505,0.16947,0.02987,0.22520
0.01991,0.23815,0.02743,0.21055,1.03478,0.11917,0.91488,0.50790,0.26694,0.03074,0.23601
0.02041,0.20102,0.02669,0.20961,0.87345,0.11598,0.91078,0.52076,0.23688,0.03145,0.24700
0.02092,0.25241,0.02628,0.20865,1.09676,0.11420,0.90661,0.53362,0.31231,0.03252,0.25816
0.02142,0.15148,0.02469,0.20768,0.65819,0.10727,0.90238,0.54648,0.19656,0.03204,0.26949
0.02193,0.21037,0.02462,0.20668,0.91408,0.10697,0.89807,0.55934,0.28598,0.03347,0.28097
0.02243,0.19338,0.02337,0.20568,0.84028,0.10154,0.89370,0.57220,0.27512,0.03324,0.29261
0.02294,0.17495,0.02256,0.20466,0.76020,0.09804,0.88927,0.58505,0.26021,0.03356,0.30439
0.02344,0.19054,0.02224,0.20362,0.82792,0.09662,0.88477,0.59791,0.29598,0.03454,0.31631
0.02394,0.20453,0.02208,0.20258,0.88870,0.09593,0.88022,0.61077,0.33152,0.03579,0.32836
0.02445,0.18035,0.02224,0.20151,0.78366,0.09664,0.87560,0.62363,0.30477,0.03759,0.34053
0.02495,0.24551,0.02212,0.20044,1.06677,0.09610,0.87093,0.63649,0.43217,0.03893,0.35283
0.02546,0.20311,0.02145,0.19935,0.88252,0.09320,0.86621,0.64935,0.37212,0.03930,0.36524
0.02596,0.14151,0.02064,0.19825,0.61487,0.08969,0.86143,0.66220,0.26963,0.03933,0.37775
0.02646,0.18891,0.02099,0.19714,0.82085,0.09122,0.85661,0.67506,0.37407,0.04157,0.39036
0.02697,0.15255,0.02045,0.19602,0.66283,0.08885,0.85173,0.68792,0.31367,0.04205,0.40307
0.02747,0.18852,0.02044,0.19489,0.81916,0.08883,0.84680,0.70078,0.40228,0.04363,0.41586
0.02798,0.19076,0.02036,0.19374,0.82886,0.08848,0.84183,0.71364,0.42212,0.04506,0.42873
0.02848,0.18100,0.01974,0.19259,0.78645,0.08578,0.83682,0.72650,0.41509,0.04527,0.44167
0.02898,0.24034,0.02018,0.19142,1.04430,0.08767,0.83176,0.73935,0.57086,0.04793,0.45468
0.02949,0.20642,0.01964,0.19025,0.89694,0.08532,0.82667,0.75221,0.50751,0.04828,0.46775
0.02999,0.22304,0.01984,0.18907,0.96915,0.08623,0.82154,0.76507,0.56728,0.05047,0.48087
0.03050,0.17424,0.01935,0.18788,0.75708,0.08408,0.81637,0.77793,0.45817,0.05088,0.49404
0.03100,0.19587,0.01877,0.18668,0.85107,0.08156,0.81116,0.79079,0.53221,0.05100,0.50726
0.03150,0.17371,0.01869,0.18548,0.75479,0.08123,0.80592,0.80365,0.48748,0.05246,0.52050
0.03201,0.21324,0.01862,0.18426,0.92654,0.08090,0.80065,0.81650,0.61770,0.05393,0.53378
0.03251,0.12881,0.01795,0.18305,0.55968,0.07801,0.79536,0.82936,0.38497,0.05366,0.54708
0.03302,0.18416,0.01828,0.18182,0.80021,0.07942,0.79003,0.84222,0.56762,0.05633,0.56040
0.03352,0.18518,0.01774,0.18059,0.80462,0.07707,0.78468,0.85508,0.58830,0.05635,0.57373
0.03402,0.18714,0.01741,0.17935,0.81313,0.07565,0.77931,0.86794,0.61254,0.05699,0.58706
0.03453,0.17836,0.01684,0.17811,0.77500,0.07316,0.77391,0.88080,0.60125,0.05675,0.60040
0.03503,0.20942,0.01688,0.17686,0.90996,0.07336,0.76849,0.89365,0.72671,0.05859,0.61373
0.03554,0.16846,0.01617,0.17561,0.73200,0.07026,0.76306,0.90651,0.60153,0.05774,0.62706
0.03604,0.17597,0.01567,0.17436,0.76463,0.06811,0.75761,0.91937,0.64630,0.05757,0.64036
0.03654,0.17497,0.01574,0.17310,0.76027,0.06840,0.75214,0.93223,0.66071,0.05944,0.65365
0.03705,0.18404,0.01562,0.17184,0.79969,0.06785,0.74666,0.94509,0.71427,0.06061,0.66691
0.03755,0.15776,0.01515,0.17058,0.68548,0.06581,0.74117,0.95795,0.62904,0.06039,0.68015
0.03806,0.16666,0.01500,0.16931,0.72417,0.06519,0.73567,0.97080,0.68251,0.06144,0.69334
0.03856,0.17706,0.01495,0.16804,0.76935,0.06496,0.73017,0.98366,0.74442,0.06285,0.70650
0.03907,0.18508,0.01484,0.16677,0.80420,0.06450,0.72466,0.99652,0.79862,0.06405,0.71962
0.03957,0.18481,0.01442,0.16550,0.80303,0.06267,0.71914,1.00938,0.81816,0.06385,0.73269
0.04007,0.16123,0.01404,0.16423,0.70057,0.06099,0.71362,1.02224,0.73208,0.06373,0.74571
0.04058,0.14650,0.01375,0.16296,0.63658,0.05975,0.70810,1.03510,0.68205,0.06402,0.75868
0.04108,0.16008,0.01379,0.16169,0.69556,0.05993,0.70258,1.04795,0.76387,0.06581,0.77158
0.04159,0.17079,0.01391,0.16042,0.74213,0.06043,0.69706,1.06081,0.83513,0.06800,0.78442
0.04209,0.16204,0.01382,0.15915,0.70408,0.06004,0.69154,1.07367,0.81164,0.06921,0.79719
0.04259,0.15475,0.01383,0.15788,0.67241,0.06010,0.68603,1.08653,0.79381,0.07095,0.80988
0.04310,0.16027,0.01352,0.15662,0.69641,0.05876,0.68051,1.09939,0.84172,0.07102,0.82250
0.04360,0.16494,0.01370,0.15535,0.71667,0.05952,0.67500,1.11225,0.88659,0.07363,0.83504
0.04411,0.17495,0.01349,0.15408,0.76016,0.05863,0.66950,1.12510,0.96226,0.07421,0.84750
0.04461,0.14932,0.01303,0.15282,0.64882,0.05662,0.66401,1.13796,0.84020,0.07333,0.85986
0.04511,0.16702,0.01336,0.15155,0.72570,0.05804,0.65852,1.15082,0.96111,0.07687,0.87213
0.04562,0.15108,0.01286,0.15029,0.65645,0.05587,0.65304,1.16368,0.88894,0.07565,0.88431
0.04612,0.13805,0.01284,0.14903,0.59982,0.05580,0.64757,1.17654,0.83030,0.07723,0.89639
0.04663,0.12806,0.01273,0.14778,0.55644,0.05532,0.64211,1.18940,0.78717,0.07826,0.90836
0.04713,0.13423,0.01249,0.14652,0.58323,0.05429,0.63666,1.20225,0.84301,0.07847,0.92023
0.04763,0.13990,0.01255,0.14527,0.60790,0.05455,0.63122,1.21511,0.89756,0.08054,0.93200
0.04814,0.15381,0.01232,0.14402,0.66833,0.05355,0.62580,1.22797,1.00778,0.08075,0.94365
0.04864,0.14403,0.01226,0.14278,0.62581,0.05328,0.62039,1.24083,0.96353,0.08204,0.95519
0.04915,0.13032,0.01195,0.14154,0.56628,0.05191,0.61500,1.25369,0.89003,0.08160,0.96661
0.04965,0.12546,0.01183,0.14030,0.54513,0.05142,0.60962,1.26655,0.87446,0.08248,0.97792
0.05015,0.14710,0.01192,0.13907,0.63918,0.05180,0.60426,1.27940,1.04626,0.08479,0.98910
0.05066,0.14240,0.01163,0.13784,0.61876,0.05054,0.59892,1.29226,1.03329,0.08440,1.00017
0.05116,0.14911,0.01156,0.13661,0.64790,0.05022,0.59360,1.30512,1.10359,0.08555,1.01111
0.05167,0.17018,0.01157,0.13539,0.73944,0.05027,0.58830,1.31798,1.28447,0.08733,1.02192
0.05217,0.12503,0.01120,0.13418,0.54329,0.04867,0.58302,1.33084,0.96223,0.08619,1.03261
0.05268,0.13580,0.01119,0.13297,0.59005,0.04863,0.57777,1.34370,1.06534,0.08780,1.04317
0.05318,0.13527,0.01092,0.13176,0.58775,0.04746,0.57253,1.35655,1.08159,0.08734,1.05360
0.05368,0.13241,0.01099,0.13057,0.57532,0.04774,0.56733,1.36941,1.07890,0.08953,1.06390
0.05419,0.13876,0.01079,0.12937,0.60292,0.04688,0.56214,1.38227,1.15198,0.08958,1.07407
0.05469,0.12719,0.01074,0.12819,0.55264,0.04668,0.55699,1.39513,1.07564,0.09085,1.08411
0.05520,0.12679,0.01071,0.12701,0.55091,0.04654,0.55186,1.40799,1.09215,0.09227,1.09402
