#File Plotted Below: avg_em_0015.dat

#Fit from 0.015-0.15 with polymer MFF
#Initial search parameter for I0 = 0.1807950581
#Initial search parameter for Rg = 30.0
#Initial search parameter for nu = 0.499880565034
#BestFit for I0 = 0.23713 +- 0.00471
#BestFit for I(0)/I0 = 1.00000 +- 0.01986
#BestFit for Rg = 26.05771 +- 0.56152
#BestFit for nu = 0.46545 +- 0.02419
#BestFit reduced chisquared = 1.11044
#-------------
#-------------

#q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.01487,0.16388,0.04745,0.22515,0.69108,0.20010,0.94947,0.38748,0.10376,0.03004,0.14255
0.01537,0.12532,0.04445,0.22434,0.52850,0.18747,0.94605,0.40061,0.08482,0.03009,0.15183
0.01588,0.12789,0.04173,0.22350,0.53934,0.17598,0.94254,0.41375,0.09233,0.03013,0.16135
0.01638,0.19144,0.03964,0.22265,0.80732,0.16715,0.93894,0.42688,0.14712,0.03046,0.17110
0.01689,0.19138,0.03803,0.22177,0.80706,0.16036,0.93525,0.44002,0.15626,0.03105,0.18108
0.01739,0.16999,0.03547,0.22088,0.71688,0.14957,0.93148,0.45315,0.14721,0.03071,0.19128
0.01789,0.23335,0.03419,0.21997,0.98408,0.14419,0.92762,0.46629,0.21396,0.03135,0.20169
0.01840,0.20963,0.03235,0.21903,0.88402,0.13644,0.92368,0.47942,0.20319,0.03136,0.21230
0.01890,0.16819,0.03084,0.21808,0.70926,0.13007,0.91966,0.49256,0.17208,0.03156,0.22312
0.01941,0.21759,0.02986,0.21711,0.91761,0.12591,0.91556,0.50569,0.23466,0.03220,0.23413
0.01991,0.17317,0.02826,0.21612,0.73026,0.11918,0.91139,0.51883,0.19657,0.03208,0.24533
0.02041,0.25885,0.02807,0.21511,1.09162,0.11838,0.90714,0.53196,0.30891,0.03350,0.25671
0.02092,0.21432,0.02638,0.21408,0.90381,0.11123,0.90282,0.54510,0.26855,0.03305,0.26826
0.02142,0.17664,0.02579,0.21304,0.74490,0.10876,0.89843,0.55823,0.23213,0.03389,0.27997
0.02193,0.18212,0.02500,0.21199,0.76802,0.10544,0.89397,0.57137,0.25073,0.03442,0.29185
0.02243,0.18575,0.02404,0.21091,0.78331,0.10137,0.88944,0.58450,0.26761,0.03463,0.30387
0.02294,0.22811,0.02361,0.20982,0.96198,0.09955,0.88485,0.59764,0.34359,0.03556,0.31604
0.02344,0.19496,0.02255,0.20872,0.82216,0.09508,0.88020,0.61077,0.30670,0.03547,0.32835
0.02394,0.22395,0.02237,0.20760,0.94443,0.09434,0.87548,0.62391,0.36763,0.03672,0.34079
