#File Plotted Below: avg_em_0052.dat

#Fit from 0.015-0.15 with polymer MFF
#Initial search parameter for I0 = 0.2689347376
#Initial search parameter for Rg = 30.0
#Initial search parameter for nu = 0.499880565034
#BestFit for I0 = 0.31352 +- 0.00367
#BestFit for I(0)/I0 = 1.00000 +- 0.01172
#BestFit for Rg = 22.91328 +- 0.32658
#BestFit for nu = 0.47337 +- 0.02362
#BestFit reduced chisquared = 1.08074
#-------------
#-------------

#q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.01487,0.22579,0.03409,0.30129,0.72016,0.10872,0.96097,0.34072,0.08360,0.01262,0.11156
0.01537,0.25349,0.03304,0.30044,0.80853,0.10539,0.95827,0.35227,0.10033,0.01308,0.11892
0.01588,0.26518,0.03128,0.29957,0.84580,0.09977,0.95550,0.36382,0.11195,0.01321,0.12648
0.01638,0.28482,0.02999,0.29868,0.90846,0.09566,0.95265,0.37537,0.12801,0.01348,0.13423
0.01689,0.25557,0.02876,0.29776,0.81515,0.09174,0.94973,0.38692,0.12203,0.01373,0.14218
0.01739,0.28169,0.02747,0.29682,0.89846,0.08763,0.94674,0.39847,0.14266,0.01391,0.15032
0.01789,0.26425,0.02683,0.29586,0.84283,0.08558,0.94367,0.41002,0.14169,0.01439,0.15865
0.01840,0.27296,0.02550,0.29488,0.87063,0.08132,0.94054,0.42157,0.15473,0.01445,0.16715
0.01890,0.27740,0.02498,0.29388,0.88479,0.07966,0.93734,0.43312,0.16598,0.01494,0.17584
0.01941,0.31641,0.02462,0.29285,1.00922,0.07854,0.93407,0.44467,0.19955,0.01553,0.18469
0.01991,0.21757,0.02292,0.29181,0.69394,0.07312,0.93073,0.45622,0.14443,0.01522,0.19372
0.02041,0.25485,0.02299,0.29074,0.81286,0.07334,0.92733,0.46777,0.17786,0.01605,0.20291
0.02092,0.24002,0.02191,0.28966,0.76555,0.06989,0.92387,0.47932,0.17588,0.01606,0.21226
0.02142,0.29531,0.02207,0.28855,0.94192,0.07039,0.92035,0.49087,0.22696,0.01696,0.22176
0.02193,0.27463,0.02141,0.28743,0.87594,0.06830,0.91676,0.50242,0.22111,0.01724,0.23141
0.02243,0.29545,0.02080,0.28628,0.94235,0.06633,0.91312,0.51397,0.24894,0.01752,0.24121
0.02294,0.28402,0.02048,0.28512,0.90589,0.06533,0.90941,0.52552,0.25018,0.01804,0.25115
0.02344,0.26602,0.01964,0.28394,0.84847,0.06264,0.90566,0.53707,0.24474,0.01807,0.26123
0.02394,0.27887,0.01979,0.28275,0.88946,0.06312,0.90184,0.54862,0.26771,0.01900,0.27144
0.02445,0.27407,0.01981,0.28154,0.87416,0.06317,0.89797,0.56017,0.27430,0.01982,0.28177
0.02495,0.29787,0.01974,0.28031,0.95007,0.06296,0.89405,0.57172,0.31054,0.02058,0.29223
0.02546,0.22868,0.01941,0.27906,0.72940,0.06192,0.89008,0.58327,0.24814,0.02107,0.30281
0.02596,0.27125,0.01929,0.27780,0.86517,0.06153,0.88606,0.59482,0.30610,0.02177,0.31349
0.02646,0.27399,0.01947,0.27652,0.87391,0.06209,0.88199,0.60637,0.32132,0.02283,0.32429
0.02697,0.26124,0.01904,0.27523,0.83325,0.06073,0.87787,0.61792,0.31815,0.02319,0.33519
0.02747,0.25582,0.01893,0.27393,0.81597,0.06039,0.87370,0.62947,0.32331,0.02393,0.34619
0.02798,0.27391,0.01907,0.27261,0.87366,0.06082,0.86949,0.64102,0.35899,0.02499,0.35728
0.02848,0.26683,0.01833,0.27127,0.85106,0.05848,0.86524,0.65257,0.36242,0.02490,0.36846
0.02898,0.32189,0.01900,0.26993,1.02668,0.06059,0.86094,0.66412,0.45282,0.02673,0.37972
0.02949,0.27267,0.01818,0.26857,0.86971,0.05800,0.85661,0.67567,0.39704,0.02648,0.39106
0.02999,0.27649,0.01829,0.26719,0.88189,0.05833,0.85223,0.68722,0.41649,0.02755,0.40248
0.03050,0.29681,0.01844,0.26581,0.94668,0.05883,0.84782,0.69877,0.46224,0.02872,0.41397
0.03100,0.27138,0.01763,0.26441,0.86559,0.05622,0.84337,0.71032,0.43674,0.02837,0.42552
0.03150,0.25672,0.01761,0.26301,0.81882,0.05615,0.83888,0.72187,0.42668,0.02926,0.43713
0.03201,0.28941,0.01746,0.26159,0.92308,0.05569,0.83436,0.73342,0.49653,0.02996,0.44880
0.03251,0.25523,0.01736,0.26016,0.81407,0.05536,0.82980,0.74497,0.45179,0.03072,0.46052
0.03302,0.25444,0.01740,0.25872,0.81154,0.05551,0.82522,0.75652,0.46446,0.03177,0.47229
0.03352,0.26792,0.01676,0.25728,0.85456,0.05344,0.82060,0.76807,0.50413,0.03153,0.48409
0.03402,0.27440,0.01648,0.25582,0.87522,0.05256,0.81596,0.77962,0.53196,0.03195,0.49594
0.03453,0.24164,0.01581,0.25436,0.77074,0.05042,0.81128,0.79117,0.48244,0.03156,0.50782
0.03503,0.24105,0.01553,0.25288,0.76885,0.04952,0.80658,0.80272,0.49541,0.03191,0.51972
0.03554,0.25418,0.01517,0.25140,0.81071,0.04840,0.80186,0.81427,0.53753,0.03209,0.53166
