#File Plotted Below: avg_em_0020.dat

#Fit from 0.015-0.15 with polymer MFF
#Initial search parameter for I0 = 0.2182874753
#Initial search parameter for Rg = 30.0
#Initial search parameter for nu = 0.499880565034
#BestFit for I0 = 0.24560 +- 0.00400
#BestFit for I(0)/I0 = 1.00000 +- 0.01628
#BestFit for Rg = 26.51075 +- 0.43941
#BestFit for nu = 0.48914 +- 0.02268
#BestFit reduced chisquared = 0.92669
#-------------
#-------------

#q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.01487,0.20064,0.04129,0.23285,0.81696,0.16811,0.94809,0.39422,0.12696,0.02612,0.14734
0.01537,0.20481,0.03930,0.23199,0.83393,0.16000,0.94458,0.40758,0.13853,0.02658,0.15691
0.01588,0.21731,0.03681,0.23110,0.88482,0.14987,0.94097,0.42094,0.15678,0.02656,0.16673
0.01638,0.17474,0.03474,0.23019,0.71148,0.14144,0.93728,0.43431,0.13420,0.02668,0.17679
0.01689,0.21980,0.03358,0.22926,0.89497,0.13671,0.93349,0.44767,0.17936,0.02740,0.18708
0.01739,0.20994,0.03157,0.22831,0.85482,0.12854,0.92962,0.46103,0.18169,0.02732,0.19759
0.01789,0.23701,0.03066,0.22734,0.96502,0.12483,0.92566,0.47440,0.21718,0.02809,0.20832
0.01840,0.23699,0.02890,0.22635,0.96496,0.11768,0.92162,0.48776,0.22957,0.02800,0.21926
0.01890,0.19870,0.02804,0.22533,0.80905,0.11416,0.91749,0.50112,0.20317,0.02867,0.23040
0.01941,0.24642,0.02719,0.22430,1.00337,0.11073,0.91329,0.51448,0.26559,0.02931,0.24174
0.01991,0.23715,0.02570,0.22325,0.96562,0.10463,0.90901,0.52785,0.26904,0.02915,0.25327
0.02041,0.24217,0.02507,0.22218,0.98605,0.10207,0.90465,0.54121,0.28882,0.02990,0.26498
0.02092,0.21603,0.02370,0.22109,0.87960,0.09649,0.90022,0.55457,0.27053,0.02968,0.27687
0.02142,0.24616,0.02376,0.21999,1.00230,0.09675,0.89572,0.56794,0.32330,0.03121,0.28892
0.02193,0.20614,0.02266,0.21886,0.83935,0.09225,0.89115,0.58130,0.28363,0.03117,0.30113
0.02243,0.20587,0.02172,0.21773,0.83825,0.08845,0.88652,0.59466,0.29643,0.03128,0.31349
0.02294,0.24469,0.02157,0.21657,0.99632,0.08781,0.88181,0.60803,0.36834,0.03246,0.32600
0.02344,0.22322,0.02067,0.21540,0.90889,0.08415,0.87705,0.62139,0.35094,0.03249,0.33865
0.02394,0.22312,0.02047,0.21421,0.90849,0.08335,0.87222,0.63475,0.36604,0.03358,0.35143
0.02445,0.21862,0.02015,0.21301,0.89015,0.08206,0.86733,0.64812,0.37391,0.03447,0.36433
0.02495,0.20112,0.01981,0.21180,0.81889,0.08068,0.86239,0.66148,0.35831,0.03530,0.37734
0.02546,0.20889,0.01984,0.21057,0.85053,0.08080,0.85739,0.67484,0.38734,0.03680,0.39047
0.02596,0.19886,0.01951,0.20933,0.80970,0.07943,0.85233,0.68821,0.38350,0.03762,0.40369
0.02646,0.18034,0.01936,0.20808,0.73428,0.07885,0.84723,0.70157,0.36142,0.03881,0.41701
0.02697,0.21060,0.01927,0.20681,0.85750,0.07847,0.84208,0.71493,0.43829,0.04011,0.43041
0.02747,0.22140,0.01933,0.20553,0.90148,0.07872,0.83688,0.72830,0.47816,0.04175,0.44389
0.02798,0.18267,0.01894,0.20425,0.74379,0.07713,0.83163,0.74166,0.40913,0.04243,0.45745
0.02848,0.22185,0.01855,0.20295,0.90330,0.07553,0.82634,0.75502,0.51493,0.04306,0.47106
0.02898,0.20291,0.01853,0.20164,0.82619,0.07547,0.82101,0.76839,0.48780,0.04456,0.48474
0.02949,0.20507,0.01799,0.20032,0.83497,0.07327,0.81564,0.78175,0.51027,0.04478,0.49847
0.02999,0.22737,0.01812,0.19899,0.92578,0.07378,0.81024,0.79511,0.58528,0.04665,0.51224
0.03050,0.16794,0.01772,0.19766,0.68381,0.07215,0.80479,0.80848,0.44696,0.04716,0.52604
0.03100,0.19490,0.01723,0.19631,0.79360,0.07016,0.79932,0.82184,0.53601,0.04739,0.53988
0.03150,0.19437,0.01722,0.19496,0.79142,0.07010,0.79382,0.83520,0.55207,0.04890,0.55374
0.03201,0.19995,0.01695,0.19360,0.81413,0.06901,0.78828,0.84857,0.58622,0.04969,0.56761
