#File Plotted Below: avg_em_0072.dat

#Fit from 0.015-0.15 with polymer MFF
#Initial search parameter for I0 = 0.3090109738
#Initial search parameter for Rg = 30.0
#Initial search parameter for nu = 0.499880565034
#BestFit for I0 = 0.34315 +- 0.00372
#BestFit for I(0)/I0 = 1.00000 +- 0.01083
#BestFit for Rg = 23.24525 +- 0.24809
#BestFit for nu = 0.55521 +- 0.03897
#BestFit reduced chisquared = 1.14556
#-------------
#-------------

#q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.01487,0.38054,0.04159,0.32966,1.10894,0.12119,0.96068,0.34566,0.13250,0.01448,0.11478
0.01537,0.25684,0.03880,0.32873,0.74847,0.11308,0.95795,0.35737,0.09559,0.01444,0.12235
0.01588,0.26184,0.03597,0.32776,0.76303,0.10483,0.95515,0.36909,0.10395,0.01428,0.13012
0.01638,0.40326,0.03526,0.32678,1.17515,0.10275,0.95227,0.38081,0.17041,0.01490,0.13809
0.01689,0.30590,0.03297,0.32576,0.89144,0.09608,0.94931,0.39253,0.13735,0.01480,0.14627
0.01739,0.33591,0.03158,0.32472,0.97888,0.09202,0.94629,0.40424,0.15996,0.01504,0.15464
0.01789,0.33427,0.03030,0.32366,0.97411,0.08829,0.94319,0.41596,0.16854,0.01528,0.16319
0.01840,0.31145,0.02890,0.32257,0.90761,0.08421,0.94001,0.42768,0.16601,0.01540,0.17194
0.01890,0.25786,0.02795,0.32146,0.75143,0.08145,0.93677,0.43940,0.14508,0.01573,0.18086
0.01941,0.33553,0.02727,0.32032,0.97779,0.07948,0.93347,0.45111,0.19898,0.01617,0.18996
0.01991,0.28725,0.02572,0.31917,0.83709,0.07494,0.93009,0.46283,0.17931,0.01605,0.19924
0.02041,0.26987,0.02498,0.31798,0.78645,0.07278,0.92665,0.47455,0.17710,0.01639,0.20868
0.02092,0.35383,0.02430,0.31678,1.03111,0.07081,0.92314,0.48626,0.24381,0.01674,0.21828
0.02142,0.30916,0.02401,0.31556,0.90093,0.06996,0.91958,0.49798,0.22342,0.01735,0.22804
0.02193,0.26628,0.02302,0.31431,0.77598,0.06708,0.91595,0.50970,0.20159,0.01743,0.23796
0.02243,0.27067,0.02214,0.31305,0.78878,0.06453,0.91226,0.52142,0.21445,0.01754,0.24802
0.02294,0.28152,0.02175,0.31176,0.82040,0.06337,0.90851,0.53313,0.23318,0.01801,0.25823
0.02344,0.31433,0.02123,0.31045,0.91600,0.06186,0.90470,0.54485,0.27193,0.01836,0.26857
0.02394,0.33009,0.02125,0.30913,0.96194,0.06194,0.90084,0.55657,0.29798,0.01919,0.27905
0.02445,0.30079,0.02103,0.30778,0.87655,0.06128,0.89692,0.56828,0.28308,0.01979,0.28966
0.02495,0.33470,0.02095,0.30642,0.97535,0.06106,0.89295,0.58000,0.32811,0.02054,0.30039
0.02546,0.29291,0.02072,0.30504,0.85357,0.06039,0.88892,0.59172,0.29886,0.02114,0.31124
0.02596,0.27706,0.02025,0.30364,0.80740,0.05902,0.88485,0.60344,0.29400,0.02149,0.32220
0.02646,0.27930,0.02036,0.30222,0.81392,0.05932,0.88072,0.61515,0.30800,0.02245,0.33328
0.02697,0.28481,0.01989,0.30079,0.82999,0.05795,0.87655,0.62687,0.32616,0.02277,0.34446
0.02747,0.30155,0.01994,0.29934,0.87876,0.05811,0.87233,0.63859,0.35835,0.02370,0.35573
0.02798,0.26764,0.01973,0.29788,0.77993,0.05748,0.86806,0.65031,0.32983,0.02431,0.36710
0.02848,0.29819,0.01923,0.29640,0.86896,0.05603,0.86375,0.66202,0.38084,0.02456,0.37856
0.02898,0.26898,0.01925,0.29491,0.78384,0.05610,0.85940,0.67374,0.35581,0.02546,0.39010
0.02949,0.27973,0.01875,0.29340,0.81518,0.05464,0.85501,0.68546,0.38302,0.02567,0.40173
0.02999,0.29182,0.01889,0.29188,0.85040,0.05505,0.85057,0.69717,0.41334,0.02676,0.41342
0.03050,0.26489,0.01875,0.29034,0.77192,0.05463,0.84609,0.70889,0.38791,0.02745,0.42519
0.03100,0.27056,0.01801,0.28879,0.78846,0.05248,0.84158,0.72061,0.40943,0.02725,0.43701
0.03150,0.29386,0.01834,0.28723,0.85635,0.05344,0.83703,0.73233,0.45926,0.02866,0.44890
0.03201,0.29012,0.01798,0.28566,0.84545,0.05239,0.83245,0.74404,0.46804,0.02900,0.46084
0.03251,0.28252,0.01799,0.28407,0.82331,0.05241,0.82783,0.75576,0.47025,0.02994,0.47283
0.03302,0.26620,0.01790,0.28248,0.77575,0.05218,0.82318,0.76748,0.45693,0.03073,0.48487
0.03352,0.26760,0.01725,0.28087,0.77983,0.05027,0.81850,0.77919,0.47347,0.03052,0.49695
0.03402,0.24885,0.01681,0.27925,0.72519,0.04899,0.81379,0.79091,0.45363,0.03065,0.50906
0.03453,0.28824,0.01642,0.27763,0.83996,0.04786,0.80905,0.80263,0.54112,0.03083,0.52120
0.03503,0.28611,0.01605,0.27599,0.83377,0.04676,0.80428,0.81435,0.55293,0.03101,0.53336
0.03554,0.28012,0.01557,0.27435,0.81630,0.04537,0.79948,0.82606,0.55703,0.03096,0.54555
0.03604,0.30009,0.01517,0.27269,0.87451,0.04421,0.79467,0.83778,0.61379,0.03103,0.55776
0.03654,0.24631,0.01489,0.27103,0.71779,0.04340,0.78982,0.84950,0.51799,0.03132,0.56997
0.03705,0.27701,0.01482,0.26936,0.80723,0.04318,0.78496,0.86121,0.59872,0.03202,0.58220
0.03755,0.27804,0.01452,0.26769,0.81026,0.04230,0.78008,0.87293,0.61742,0.03223,0.59443
0.03806,0.25800,0.01418,0.26600,0.75185,0.04132,0.77517,0.88465,0.58840,0.03233,0.60665
0.03856,0.28589,0.01410,0.26432,0.83312,0.04109,0.77025,0.89637,0.66939,0.03302,0.61888
0.03907,0.25049,0.01388,0.26262,0.72998,0.04044,0.76531,0.90808,0.60195,0.03334,0.63109
0.03957,0.27594,0.01360,0.26092,0.80413,0.03963,0.76036,0.91980,0.68032,0.03352,0.64329
0.04007,0.25416,0.01338,0.25922,0.74064,0.03898,0.75539,0.93152,0.64268,0.03383,0.65548
0.04058,0.27028,0.01330,0.25751,0.78763,0.03877,0.75041,0.94324,0.70075,0.03450,0.66764
0.04108,0.28412,0.01343,0.25580,0.82796,0.03913,0.74542,0.95495,0.75504,0.03569,0.67978
0.04159,0.23200,0.01318,0.25408,0.67608,0.03842,0.74042,0.96667,0.63177,0.03590,0.69189
0.04209,0.23585,0.01310,0.25236,0.68729,0.03818,0.73541,0.97839,0.65790,0.03654,0.70397
0.04259,0.26668,0.01338,0.25064,0.77714,0.03899,0.73039,0.99010,0.76184,0.03822,0.71601
0.04310,0.28711,0.01323,0.24891,0.83668,0.03856,0.72537,1.00182,0.83973,0.03870,0.72802
0.04360,0.24962,0.01321,0.24719,0.72743,0.03850,0.72034,1.01354,0.74726,0.03955,0.73998
0.04411,0.26286,0.01309,0.24546,0.76602,0.03814,0.71531,1.02526,0.80520,0.04009,0.75190
0.04461,0.25559,0.01282,0.24373,0.74481,0.03737,0.71027,1.03697,0.80091,0.04018,0.76377
0.04511,0.23111,0.01284,0.24201,0.67350,0.03741,0.70524,1.04869,0.74068,0.04114,0.77558
0.04562,0.22288,0.01267,0.24028,0.64950,0.03692,0.70020,1.06041,0.73034,0.04152,0.78735
0.04612,0.23895,0.01266,0.23855,0.69634,0.03690,0.69516,1.07212,0.80041,0.04242,0.79905
0.04663,0.23403,0.01258,0.23682,0.68199,0.03667,0.69012,1.08384,0.80114,0.04308,0.81069
0.04713,0.23416,0.01238,0.23509,0.68238,0.03606,0.68508,1.09556,0.81903,0.04329,0.82227
0.04763,0.21465,0.01241,0.23336,0.62552,0.03616,0.68004,1.10728,0.76693,0.04433,0.83377
0.04814,0.25139,0.01235,0.23163,0.73259,0.03600,0.67501,1.11899,0.91732,0.04507,0.84521
0.04864,0.24593,0.01224,0.22991,0.71669,0.03568,0.66998,1.13071,0.91629,0.04562,0.85657
0.04915,0.22855,0.01199,0.22818,0.66602,0.03495,0.66495,1.14243,0.86925,0.04561,0.86786
0.04965,0.22938,0.01191,0.22646,0.66845,0.03470,0.65993,1.15415,0.89041,0.04622,0.87907
0.05015,0.26194,0.01211,0.22474,0.76333,0.03529,0.65492,1.16586,1.03754,0.04797,0.89019
0.05066,0.23479,0.01175,0.22302,0.68421,0.03424,0.64991,1.17758,0.94879,0.04748,0.90123
0.05116,0.22841,0.01162,0.22131,0.66562,0.03385,0.64492,1.18930,0.94147,0.04788,0.91219
0.05167,0.20975,0.01136,0.21959,0.61123,0.03310,0.63992,1.20101,0.88166,0.04775,0.92305
0.05217,0.24908,0.01155,0.21788,0.72585,0.03365,0.63494,1.21273,1.06752,0.04949,0.93382
0.05268,0.22803,0.01136,0.21618,0.66451,0.03311,0.62997,1.22445,0.99628,0.04964,0.94450
0.05318,0.21397,0.01107,0.21448,0.62354,0.03225,0.62502,1.23617,0.95284,0.04928,0.95509
0.05368,0.20981,0.01111,0.21278,0.61142,0.03236,0.62007,1.24788,0.95210,0.05040,0.96558
0.05419,0.20498,0.01087,0.21109,0.59734,0.03169,0.61514,1.25960,0.94773,0.05028,0.97597
0.05469,0.22357,0.01103,0.20940,0.65152,0.03213,0.61022,1.27132,1.05301,0.05193,0.98626
0.05520,0.21689,0.01096,0.20772,0.63205,0.03195,0.60531,1.28303,1.04047,0.05259,0.99645
0.05570,0.19860,0.01071,0.20604,0.57876,0.03120,0.60042,1.29475,0.97022,0.05230,1.00654
0.05620,0.20985,0.01075,0.20437,0.61154,0.03133,0.59555,1.30647,1.04381,0.05348,1.01652
0.05671,0.20985,0.01052,0.20270,0.61153,0.03067,0.59069,1.31819,1.06261,0.05329,1.02640
0.05721,0.19399,0.01055,0.20104,0.56532,0.03075,0.58585,1.32990,0.99985,0.05438,1.03617
0.05772,0.22738,0.01063,0.19939,0.66261,0.03099,0.58104,1.34162,1.19266,0.05578,1.04583
0.05822,0.20329,0.01045,0.19774,0.59243,0.03044,0.57624,1.35334,1.08504,0.05575,1.05539
0.05872,0.18929,0.01037,0.19610,0.55161,0.03021,0.57146,1.36505,1.02785,0.05630,1.06484
0.05923,0.19106,0.01024,0.19447,0.55677,0.02984,0.56670,1.37677,1.05535,0.05657,1.07418
0.05973,0.20056,0.01022,0.19284,0.58446,0.02978,0.56197,1.38849,1.12679,0.05741,1.08341
0.06024,0.18218,0.01017,0.19122,0.53091,0.02962,0.55725,1.40021,1.04088,0.05808,1.09254
0.06074,0.19435,0.01008,0.18962,0.56636,0.02937,0.55257,1.41192,1.12905,0.05856,1.10156
0.06124,0.18050,0.01003,0.18802,0.52600,0.02924,0.54790,1.42364,1.06608,0.05926,1.11046
0.06175,0.18497,0.01001,0.18642,0.53903,0.02918,0.54327,1.43536,1.11054,0.06011,1.11927
0.06225,0.19320,0.00993,0.18484,0.56300,0.02895,0.53866,1.44708,1.17895,0.06062,1.12796
0.06276,0.18014,0.00980,0.18327,0.52496,0.02856,0.53407,1.45879,1.11715,0.06078,1.13655
0.06326,0.19130,0.00982,0.18171,0.55747,0.02863,0.52952,1.47051,1.20547,0.06191,1.14503
0.06376,0.18856,0.00976,0.18015,0.54948,0.02844,0.52499,1.48223,1.20720,0.06248,1.15340
0.06427,0.15955,0.00963,0.17861,0.46496,0.02807,0.52049,1.49394,1.03774,0.06264,1.16168
0.06477,0.18251,0.00965,0.17708,0.53185,0.02813,0.51603,1.50566,1.20571,0.06378,1.16985
0.06528,0.18779,0.00964,0.17556,0.54724,0.02809,0.51160,1.51738,1.26000,0.06467,1.17792
0.06578,0.18964,0.00965,0.17405,0.55264,0.02811,0.50719,1.52910,1.29216,0.06572,1.18588
0.06629,0.17396,0.00947,0.17255,0.50694,0.02761,0.50282,1.54081,1.20352,0.06554,1.19375
0.06679,0.16055,0.00939,0.17106,0.46785,0.02737,0.49848,1.55253,1.12769,0.06598,1.20151
0.06729,0.16274,0.00940,0.16958,0.47424,0.02741,0.49417,1.56425,1.16040,0.06706,1.20918
0.06780,0.17141,0.00933,0.16811,0.49952,0.02719,0.48989,1.57596,1.24063,0.06754,1.21673
0.06830,0.17070,0.00934,0.16665,0.49743,0.02721,0.48565,1.58768,1.25389,0.06858,1.22419
0.06881,0.16185,0.00923,0.16521,0.47166,0.02691,0.48143,1.59940,1.20655,0.06883,1.23154
0.06931,0.16764,0.00929,0.16377,0.48853,0.02709,0.47725,1.61112,1.26807,0.07031,1.23880
0.06981,0.15726,0.00914,0.16235,0.45828,0.02664,0.47310,1.62283,1.20692,0.07015,1.24594
0.07032,0.16481,0.00912,0.16093,0.48028,0.02659,0.46898,1.63455,1.28319,0.07104,1.25299
0.07082,0.18335,0.00926,0.15953,0.53430,0.02697,0.46489,1.64627,1.44806,0.07310,1.25994
