#File Plotted Below: avg_em_0103.dat

#Fit from 0.015-0.15 with polymer MFF
#Initial search parameter for I0 = 0.2659082722
#Initial search parameter for Rg = 30.0
#Initial search parameter for nu = 0.499880565034
#BestFit for I0 = 0.27579 +- 0.00364
#BestFit for I(0)/I0 = 1.00000 +- 0.01319
#BestFit for Rg = 24.49296 +- 0.33163
#BestFit for nu = 0.50685 +- 0.02680
#BestFit reduced chisquared = 0.96108
#-------------
#-------------

#q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.01487,0.25127,0.03763,0.26361,0.91109,0.13644,0.95584,0.36421,0.12086,0.01810,0.12679
0.01537,0.32480,0.03628,0.26278,1.17772,0.13156,0.95281,0.37656,0.16700,0.01865,0.13510
0.01588,0.22802,0.03358,0.26192,0.82679,0.12175,0.94970,0.38890,0.12505,0.01841,0.14364
0.01638,0.26923,0.03214,0.26104,0.97621,0.11652,0.94651,0.40125,0.15717,0.01876,0.15239
0.01689,0.28666,0.03155,0.26013,1.03941,0.11439,0.94323,0.41360,0.17780,0.01957,0.16135
0.01739,0.25584,0.02927,0.25921,0.92766,0.10614,0.93988,0.42594,0.16830,0.01926,0.17052
0.01789,0.22999,0.02811,0.25826,0.83393,0.10194,0.93645,0.43829,0.16020,0.01958,0.17989
0.01840,0.26353,0.02715,0.25730,0.95556,0.09845,0.93294,0.45063,0.19405,0.01999,0.18945
0.01890,0.26841,0.02654,0.25631,0.97323,0.09623,0.92935,0.46298,0.20861,0.02063,0.19921
0.01941,0.28848,0.02597,0.25530,1.04602,0.09418,0.92570,0.47533,0.23633,0.02128,0.20915
0.01991,0.24412,0.02428,0.25427,0.88516,0.08806,0.92197,0.48767,0.21051,0.02094,0.21927
0.02041,0.21789,0.02388,0.25322,0.79006,0.08660,0.91818,0.50002,0.19753,0.02165,0.22956
