# Position, Conc, Conc_std
3.699999999999992184e-01,2.412705606309019485e-41,2.202425699014764181e-40
3.599999999999992095e-01,2.873499403088625551e-39,3.238357530709988425e-38
3.499999999999992006e-01,-1.050774461504770670e-37,1.356997706246519163e-36
3.399999999999991918e-01,-8.718378066950558930e-36,5.218261671841367298e-35
3.299999999999991829e-01,-1.549125568745318366e-33,4.507615683238649576e-33
3.199999999999991740e-01,-1.141121381762050537e-31,6.268532065525116539e-31
3.099999999999991651e-01,3.617282190327584355e-29,1.340507034815240838e-28
2.999999999999991562e-01,2.087301519959736617e-27,7.799157085182867384e-27
2.899999999999991473e-01,1.902274504186532574e-25,1.409327750404901395e-24
2.799999999999991385e-01,-7.673630573535270853e-24,6.780452839274844411e-23
2.699999999999991296e-01,-4.481312139219082555e-22,2.996515666045493791e-21
2.599999999999991207e-01,-1.536782567572461765e-20,3.671406019674340262e-19
2.499999999999991118e-01,6.869346668108797336e-17,4.226368887009372581e-16
2.399999999999991029e-01,-2.937410105552897439e-13,1.315349878478111483e-12
2.299999999999990941e-01,-7.772541078820893392e-14,2.131279363086550680e-10
2.199999999999990852e-01,4.382648481921625152e-09,1.428079456039908188e-08
2.099999999999990763e-01,-9.287759979268280769e-08,2.361205754498516220e-07
1.999999999999990674e-01,-9.292178380856705510e-07,1.571145679617029706e-06
1.899999999999990585e-01,1.948691433978995835e-06,5.978738685086982311e-06
1.799999999999990496e-01,4.482098478418649701e-05,8.626310957916281171e-05
1.699999999999990408e-01,3.513672044843217266e-04,6.705632310876688540e-04
1.599999999999990319e-01,9.468344333464713590e-04,1.487481314728007244e-03
1.499999999999990230e-01,2.089934984537886002e-03,3.154579467193901858e-03
1.399999999999990141e-01,3.419128759472553434e-03,4.652737347636689939e-03
1.299999999999990052e-01,5.716156364209288611e-03,7.793187137738119552e-03
1.199999999999989964e-01,7.536451456928146796e-03,9.724378462748862334e-03
1.099999999999989875e-01,1.035966465082899766e-02,1.254510756811767769e-02
9.999999999999897859e-02,1.834551219938936745e-02,2.008515710540921539e-02
8.999999999999896971e-02,2.865894679170680193e-02,2.860751177489907759e-02
7.999999999999896083e-02,4.021332906109781336e-02,3.550599908287509210e-02
6.999999999999895195e-02,5.440354735505960326e-02,4.311550239366033349e-02
5.999999999999894307e-02,7.031407637994230297e-02,5.108549438985538621e-02
4.999999999999893419e-02,9.015405847862080491e-02,5.703336938126730288e-02
3.999999999999892530e-02,1.116567649298365605e-01,6.197588394111912952e-02
2.999999999999891642e-02,1.328856041978511981e-01,6.326682512799501612e-02
1.999999999999890754e-02,1.584955337324287783e-01,6.227645510481111951e-02
9.999999999998898659e-03,1.817980138717268657e-01,6.234317983092785981e-02
-1.110223024625156540e-15,2.214785580713775903e-01,5.974064056637274495e-02
-1.000000000000111910e-02,2.502289672453302249e-01,4.570383902698310630e-02
-2.000000000000112799e-02,2.950149193557079497e-01,4.781082564931891238e-02
-3.000000000000113687e-02,3.236689061875374640e-01,3.407142178391923265e-02
-4.000000000000114575e-02,3.608117573860125660e-01,3.294133791247414594e-02
-5.000000000000115463e-02,3.874777601744200384e-01,2.359590737569935634e-02
-6.000000000000116351e-02,4.046945951344178005e-01,2.306312548059369014e-02
-7.000000000000117240e-02,4.198264378111101203e-01,2.032308286517258908e-02
-8.000000000000118128e-02,4.340977940936613932e-01,1.822821982278539227e-02
-9.000000000000119016e-02,4.459484635613950587e-01,1.776613204179627523e-02
-1.000000000000011990e-01,4.563594303382228490e-01,1.684581387008916853e-02
